,pano_id,lat,lng,elev,x,y
0,fmnmA6ZrzM38gcPGd6jlJQ,45.4957101245606,-73.58250496445334,57.90213394165039,0.0,0.0
1,OgM8drL2r2xhDNR-bQlrxQ,45.49564750773598,-73.58240310544309,57.48746871948242,6.959171271596276,-11.3205085394288
2,thh4EXIvb6-Rv6oKjZekKQ,45.49558974115514,-73.58230911716826,57.08866119384766,13.379291299338803,-21.766271415424953
3,7C_x_Joul6xEg_Mo3qMvFA,45.49552828558904,-73.58220912870124,56.65367126464844,20.209401460625124,-32.878889652433855
4,3ZvByPqo5I-v_H932hy6Ug,45.49546827816002,-73.58211145458259,56.2221565246582,26.8785671145299,-43.734293524980416
5,xhREBhaLgopJl46Qn5pIDg,45.49541156335511,-73.58201909497595,55.81134796142578,33.181793816951874,-53.99904784734363
6,gr_aMAzme5aQE7ny6v7BCg,45.49533719633272,-73.58189810593159,55.27178955078125,41.44687031864387,-67.44564924867676
7,3nGtmEN35TciS5XU9TbInw,45.49526866345747,-73.58178665573014,54.77580642700195,49.06354554069508,-79.83211318702156
8,TkAvmQBSF5JKbS_1NqFoKQ,45.4952081501543,-73.58168805442601,54.34040451049805,55.78893354231353,-90.79056352687091
9,p14EIFt10EXo1PR_HPJaEQ,45.4951264189588,-73.58155515966465,53.75908279418945,64.87245687902887,-105.56035441014396
10,vVjKSzVi2p6oKL9cXpeQfg,45.49507340689176,-73.58146889546462,53.38608169555664,70.7641649972079,-115.14767133632749
11,9KYRYNRXgS36mFYYY4b7sw,45.49506505621983,-73.58145430055741,53.32475662231445,71.69225032522506,-116.7697347291231
12,3a4ut_Db6qtoKWI6OkiUBQ,45.49499689162734,-73.58133282469952,52.8228645324707,79.26799497012354,-130.27044009975418
13,TKvjkoahJPSL694X2G2KyA,45.49493702360118,-73.58122607800796,52.38880920410156,85.92166752908587,-142.13416065272887
14,QCMR5I86WGw6j6RYpJjHDw,45.49487796205445,-73.58112079761952,51.96693420410156,92.48570877098416,-153.8349177434681
15,0vjGde_3fGIWBmZoPjH7_A,45.49482052735554,-73.5810185436355,51.56349945068359,98.86894377311273,-165.19932327401915
16,90LopAOCLBVRpKY2bv5fqg,45.49471672882287,-73.58083356726489,50.84698104858398,110.40500889556787,-185.75741212666296
17,r-Bp2GGV8B9Sa7Acbxo6qA,45.49466236907769,-73.58073665407514,50.47794723510742,116.44649661570529,-196.5282471223527
18,3I1SE25U8b8p3i2Gs4_57w,45.49460251469939,-73.58063000257575,50.07587051391602,123.0986523655798,-208.38138811346982
